DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,JZS0,JZS2,XZS0,XZS2,NZS0,NZS2
FIELD_COLORS,#a68a70,#7aaddb,#fc5e5e,#fca140,#7a8c54,#91c25e
DATASET_SCALE,0,1000,2000

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1,value1,value2,value3
#ID2,value4,value5,value6
#9606,10000,15000,9000
#LEAF1|LEAF2,11000,9000,120007
g__norank_c__Acidobacteria,1493,1640.66666666667,2112.33333333333,2670,2245.66666666667,1868.33333333333
g__norank_f__Anaerolineaceae,2083,1433.33333333333,2496.33333333333,2004,1925.66666666667,1996.33333333333
g__Intrasporangium,1540.66666666667,1640.66666666667,2024.33333333333,1508.33333333333,1405.66666666667,1692.33333333333
g__norank_c__KD4-96,388.333333333333,544,743.666666666667,705,758,596
g__norank_c__SJA-15,754.666666666667,538,425,288.333333333333,411.333333333333,600.666666666667
g__Marmoricola,415.333333333333,517,418.333333333333,613.333333333333,416.333333333333,444.333333333333
g__Pseudarthrobacter,399.333333333333,431.666666666667,474,501.666666666667,581.333333333333,436
g__Nitrospira,396.333333333333,332.666666666667,478.333333333333,448,430.666666666667,614.666666666667
g__Gaiella,403.666666666667,540.666666666667,312.666666666667,425.333333333333,449.333333333333,457.666666666667
g__Roseiflexus,223,348,284.666666666667,488.666666666667,524.666666666667,499.333333333333
g__norank_f__Gemmatimonadaceae,340.333333333333,333.666666666667,454.333333333333,439,313,395
g__norank_o__Acidimicrobiales,255,386.666666666667,256,351.666666666667,385.333333333333,354.666666666667
g__norank_c__Actinobacteria,263,269,251.333333333333,353.666666666667,399,432
g__norank_o__Gaiellales,260,445.333333333333,238,255.333333333333,360.666666666667,350
g__norank_o__SC-I-84,248.333333333333,381.333333333333,181.333333333333,262.333333333333,420.666666666667,328.333333333333
g__norank_f__Elev-16S-1332,183,417.666666666667,184.666666666667,258,338.666666666667,328
g__norank_f__Nitrosomonadaceae,281.333333333333,217.666666666667,277.666666666667,398.666666666667,251,253.333333333333
g__norank_c__TK10,269.666666666667,221.666666666667,230.333333333333,292.333333333333,242,316.333333333333
g__Anaeromyxobacter,221,232.333333333333,291,264,279.333333333333,276.333333333333
g__norank_o__JG30-KF-CM45,271.666666666667,233.333333333333,285.333333333333,273.333333333333,226.333333333333,273
g__norank_f__Caldilineaceae,273,415.333333333333,183.333333333333,204.666666666667,146.333333333333,200
g__norank_o__Subgroup_7,186,219.666666666667,219,258.666666666667,246.333333333333,274
g__Sphingomonas,277.333333333333,314,238.666666666667,206.666666666667,184.333333333333,168
g__norank_c__SBR2076,237,188.333333333333,243,154.333333333333,198.333333333333,337.666666666667
g__Gemmatimonas,132.666666666667,289,230.333333333333,244,224,224
g__Bryobacter,203,259.666666666667,177,263,236.333333333333,198.333333333333
