ID,Group1,Group2,p,padj,log2
OTU2248,0.045170167,0.016447516,0.000486129,0.000486129,-1.45750055
OTU15,0.050564477,0.373918301,0.004641561,0.004641561,2.886526968
OTU71,0.00610191,0.000164847,0.004646658,0.004646658,-5.210063458
OTU17,0.039163836,0.002934451,0.004870937,0.004870937,-3.738359364
OTU157,0.003666403,0.013704652,0.006170507,0.006170507,1.90222825
OTU312,0.001542603,0.010847217,0.010183949,0.010183949,2.813885863
OTU41,0.05367624,0.147465636,0.01087466,0.01087466,1.458023279
OTU195,0.0004173,0.003200659,0.013191959,0.013191959,2.939210591
OTU227,0.009124636,0.000465769,0.013813278,0.013813278,-4.292079349
OTU284,0.001555702,0.014225512,0.01575383,0.01575383,3.192843215
OTU111,0.02844796,0.008109169,0.018387569,0.018387569,-1.810699294
OTU406,0.000330244,0.004189102,0.018714067,0.018714067,3.665037197
OTU93,0.120207754,0.239363747,0.019497464,0.019497464,0.993674703
OTU484,0.057666814,0.023058402,0.019933731,0.019933731,-1.322448782
OTU476,0.002421538,0.006816085,0.019980076,0.019980076,1.493019559
OTU468,0.008989093,0.001690668,0.023437854,0.023437854,-2.410582023
OTU233,0.004272957,0.000263779,0.026856395,0.026856395,-4.017831379
OTU866,0.29716805,0.111978279,0.026932343,0.026932343,-1.408060096
OTU124,0.029554849,0.07036337,0.02775197,0.02775197,1.251429724
OTU4990,0.002028698,0.010959822,0.027951662,0.027951662,2.43359858
OTU65,0.10151667,0.218626565,0.028037285,0.028037285,1.106752056
OTU144,0.010922317,0.0025381,0.028325988,0.028325988,-2.105457817
OTU421,6.69E-05,0.001156688,0.028918127,0.028918127,4.112327939
OTU214,0.00525101,0.000970059,0.029556971,0.029556971,-2.436450924
OTU839,0.002005604,0.009593926,0.030390534,0.030390534,2.258084325
OTU831,0.004560639,0.000265556,0.030796918,0.030796918,-4.102149408
OTU104,0.060483734,0.114926224,0.030866548,0.030866548,0.926088912
OTU470,0.007334134,0.019984166,0.03157461,0.03157461,1.446158772
OTU253,0.031534685,0.058451665,0.032123793,0.032123793,0.890304585
OTU122,0.00198525,0.009072192,0.034273357,0.034273357,2.192130913
