LUT,Service,Value,Value_Percent,enEMF,enEMF_Farmers
EM,Food,544.8383828,0.260637364,2090.407814,991.6649193
EM,Climate_reg,896.05035,0.428648584,NA,NA
EM,Water,202.6925447,0.096963159,NA,NA
EM,Soil_Health,133.7320519,0.063974145,NA,NA
EM,Biodiversity,313.0944845,0.149776748,NA,NA
EP,Food,634.7323033,0.281007355,2204.763614,1080.927906
EP,Climate_reg,1150.84125,0.509498026,NA,NA
EP,Water,-27.00554225,0.011955837,NA,NA
EP,Soil_Health,130.7025192,0.057864345,NA,NA
EP,Biodiversity,315.4930835,0.139674437,NA,NA
IM,Food,883.8853154,0.286701298,1274.361378,1290.0984
IM,Climate_reg,888.5565,0.288216466,NA,NA
IM,Water,-904.2935225,0.293321003,NA,NA
IM,Soil_Health,113.0213288,0.036660143,NA,NA
IM,Biodiversity,293.1917562,0.09510109,NA,NA
OF,Food,1312.408617,0.718403978,1826.839295,1588.02018
OF,Climate_reg,4.817475,0.002637055,NA,NA
OF,Water,234.0016404,0.128090983,NA,NA
OF,Soil_Health,71.53116102,0.039155694,NA,NA
OF,Biodiversity,204.0804023,0.111712291,NA,NA
CF,Food,1063.408577,0.553882648,964.0052776,1379.333842
CF,Climate_reg,62.627175,0.032619735,NA,NA
CF,Water,-477.9557397,0.248946074,NA,NA
CF,Soil_Health,86.92597982,0.045275911,NA,NA
CF,Biodiversity,228.9992857,0.119275633,NA,NA
