Mainplot,Plot,LUT,Climate,egEMF_Farmers,egEMF_Locals,egEMF_Env,egEMF_Tourism
1,01_1,EM,amb,0.379954315,0.417292878,0.509174818,0.446293167
1,01_2,CF,amb,0.474548407,0.414123661,0.425725647,0.386437239
1,01_3,EP,amb,0.416146855,0.433900361,0.493049183,0.449164429
1,01_4,OF,amb,0.71369966,0.673815031,0.60385184,0.643532585
1,01_5,IM,amb,0.418095263,0.382769869,0.404028665,0.369526123
2,02_1,IM,fut,0.425409411,0.414170225,0.462909404,0.415719225
2,02_2,EP,fut,0.386771825,0.427787296,0.51713293,0.457749369
2,02_3,OF,fut,0.534541267,0.49292267,0.475317197,0.466924055
2,02_4,CF,fut,0.40015132,0.372509982,0.405485164,0.362341859
2,02_5,EM,fut,0.337152768,0.406821356,0.500676264,0.451668561
3,03_1,CF,amb,0.459881468,0.396959395,0.410766731,0.367743758
3,03_2,OF,amb,0.64606471,0.59062069,0.544812984,0.556284442
3,03_3,IM,amb,0.437340129,0.401368651,0.442546367,0.389662302
3,03_4,EM,amb,0.387882384,0.430990937,0.515978264,0.462955937
3,03_5,EP,amb,0.426561283,0.4262122,0.489380422,0.434155951
4,04_1,CF,fut,0.483524165,0.422381807,0.436424439,0.392074556
4,04_2,OF,fut,0.615863395,0.559077242,0.525459463,0.524125305
4,04_3,IM,fut,0.392187789,0.37360859,0.417619345,0.370090832
4,04_4,EM,fut,0.323290156,0.378267481,0.45808858,0.414552903
4,04_5,EP,fut,0.373757116,0.427856117,0.527537946,0.466109079
5,05_1,OF,amb,0.717200943,0.673301967,0.581622974,0.638437215
5,05_2,IM,amb,0.472798406,0.445697038,0.48751192,0.438690332
5,05_3,CF,amb,0.521587738,0.451068451,0.464986031,0.417197878
5,05_4,EP,amb,0.425233784,0.45315858,0.536283501,0.476857249
5,05_5,EM,amb,0.344494818,0.399022588,0.489036245,0.435588646
6,06_1,EP,fut,0.390544622,0.429006475,0.509752377,0.456769889
6,06_2,CF,fut,0.403017786,0.355568774,0.373909403,0.334412501
6,06_3,EM,fut,0.33034341,0.378320398,0.457462688,0.411177084
6,06_4,OF,fut,0.579667943,0.502274664,0.464289843,0.457593986
6,06_5,IM,fut,0.358874604,0.340377756,0.373564556,0.337357855
7,07_1,OF,fut,0.557438854,0.513106062,0.521904418,0.489693741
7,07_2,EM,fut,0.317735023,0.369360264,0.452076612,0.403304257
7,07_3,EP,fut,0.317155054,0.360958824,0.432875969,0.390818938
7,07_4,IM,fut,0.410865059,0.383497509,0.425255833,0.37590866
7,07_5,CF,fut,0.428717126,0.369430344,0.379763942,0.340697862
8,08_1,IM,amb,0.401618756,0.389644493,0.44181198,0.392092855
8,08_2,EP,amb,0.370777435,0.410979683,0.490725595,0.440597982
8,08_3,EM,amb,0.355249259,0.402988872,0.493848205,0.437504873
8,08_4,CF,amb,0.45853741,0.390563211,0.410279336,0.360804827
8,08_5,OF,amb,0.663342018,0.606512456,0.552610785,0.570096492
9,09_1,EM,fut,0.336052187,0.402395008,0.503982354,0.445998227
9,09_2,IM,fut,0.329556473,0.3179871,0.355939231,0.317935685
9,09_3,CF,fut,0.347953744,0.301792241,0.319094409,0.280675711
9,09_4,EP,fut,0.289581786,0.33403047,0.4039351,0.364889708
9,09_5,OF,fut,0.507975503,0.448240489,0.419094371,0.41434965
10,10_1,EP,amb,0.385388354,0.441638341,0.54487417,0.480907107
10,10_2,EM,amb,0.394875347,0.456706053,0.558784202,0.499452698
10,10_3,OF,amb,0.647247343,0.620779392,0.584792212,0.60218148
10,10_4,IM,amb,0.431069654,0.39302355,0.426467184,0.381071927
10,10_5,CF,amb,0.441175812,0.378539672,0.393135512,0.350180107
